"Designator","Footprint","Quantity","Value","LCSC Part #"
"PA2","0603","1","LED","C2286"
"BOOT","SW-SMD_L3.9-W3.0-P4.45","1","BOOT","C455280"
"C11, C12, C5, C6, C8","0603","5","1uF","C15849"
"C1, C10, C2, C3, C4, C7","0603","6","100nF","C14663"
"C9","0603","1","10nF","C57112"
"DEBUG","PinHeader_1x04_P2.54mm_Vertical","1","Conn_01x04","C2691448"
"J1","PinHeader_1x05_P2.54mm_Vertical","1","Header Left","C124379"
"J2","PinHeader_1x05_P2.54mm_Vertical","1","Header Right","C124379"
"PA3","SW-SMD_L3.9-W3.0-P4.45","1","PA3","C455280"
"R1, R2","0603","2","100k","C23186"
"R3, R4, R7","0603","3","10k","C25804"
"R6, R5","0603","2","5.1k","C25803"
"RESET","SW-SMD_L3.9-W3.0-P4.45","1","RESET","C455280"
"STM32","LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL","1","STM32G431CBT6","C529355"
"U1","SOT-23-3","1","XC6206PxxxMR","C5446"
"USB-C1","USB-C-SMD_TYPE-C-16PIN-2MD-073","1","TYPE-C 16PIN 2MD","C2765186"